Position,Track_Name,Artist,Streams,Date,Region
1,One Dance,Drake,89403,2017-01-01,fr
2,Starboy,The Weeknd,80882,2017-01-01,fr
3,24K Magic,Bruno Mars,80838,2017-01-01,fr
4,My Way,Calvin Harris,72133,2017-01-01,fr
5,Mauvaise graine,Nekfeu,71082,2017-01-01,fr
6,Squa,Nekfeu,70542,2017-01-01,fr
7,Let Me Love You,DJ Snake,69647,2017-01-01,fr
8,Afro Trap Pt. 7 (La puissance),MHD,62394,2017-01-01,fr
9,Black Beatles,Rae Sremmurd,60080,2017-01-01,fr
10,Tchoin,Kaaris,59226,2017-01-01,fr
11,Sunset Lover,Petit Biscuit,58821,2017-01-01,fr
12,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,58735,2017-01-01,fr
13,Saturne,Nekfeu,58270,2017-01-01,fr
14,Tchikita,Jul,56744,2017-01-01,fr
15,Onizuka,PNL,56545,2017-01-01,fr
16,Lordly (feat. Alex Aiono),Feder,55745,2017-01-01,fr
17,Pop Corn,Boostee,54892,2017-01-01,fr
18,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,54286,2017-01-01,fr
19,Human,Rag'n'Bone Man,53830,2017-01-01,fr
20,DKR,Booba,53653,2017-01-01,fr
21,Ride,Twenty One Pilots,53226,2017-01-01,fr
22,I Feel It Coming,The Weeknd,52113,2017-01-01,fr
23,Heathens,Twenty One Pilots,51884,2017-01-01,fr
24,Lush Life,Zara Larsson,51117,2017-01-01,fr
25,Don't Wanna Know,Maroon 5,50895,2017-01-01,fr
26,Aloha,Møme,50720,2017-01-01,fr
27,Cheap Thrills,Sia,50556,2017-01-01,fr
28,Closer,The Chainsmokers,50520,2017-01-01,fr
29,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,50021,2017-01-01,fr
30,Work from Home,Fifth Harmony,49229,2017-01-01,fr
31,The Ocean,Mike Perry,48424,2017-01-01,fr
32,Heal Tomorrow,Naïve New Beaters,47997,2017-01-01,fr
33,Ain't Your Mama,Jennifer Lopez,47913,2017-01-01,fr
34,Sex,Cheat Codes,46127,2017-01-01,fr
35,Cold Water (feat. Justin Bieber & MØ),Major Lazer,46064,2017-01-01,fr
36,Naha,PNL,45800,2017-01-01,fr
37,In the Name of Love,Martin Garrix,44289,2017-01-01,fr
38,Bazardée,KeBlack,43993,2017-01-01,fr
39,6.45i,SCH,43304,2017-01-01,fr
40,Hymn For The Weekend - Seeb Remix,Coldplay,43128,2017-01-01,fr
41,Infréquentables,Dosseh,42866,2017-01-01,fr
42,Perfect Strangers,Jonas Blue,42224,2017-01-01,fr
43,Réalité augmentée,Nekfeu,41939,2017-01-01,fr
44,On m'appelle l'ovni,Jul,41938,2017-01-01,fr
45,Light It Up (feat. Nyla & Fuse ODG) - Remix,Major Lazer,41138,2017-01-01,fr
46,Humanoïde,Nekfeu,40763,2017-01-01,fr
47,Final Song,MØ,38966,2017-01-01,fr
48,Treat You Better,Shawn Mendes,38629,2017-01-01,fr
49,Hundred Miles,Yall,38384,2017-01-01,fr
50,Panda,Desiigner,38195,2017-01-01,fr
51,Blow,Kaaris,38150,2017-01-01,fr
52,Call On Me - Ryan Riback Extended Remix,Starley,37214,2017-01-01,fr
53,Fast Car,Jonas Blue,36561,2017-01-01,fr
54,Oblah,Gradur,36250,2017-01-01,fr
55,Avant tu riais,Nekfeu,36208,2017-01-01,fr
56,Bené,PNL,35639,2017-01-01,fr
57,This Is What You Came For,Calvin Harris,35350,2017-01-01,fr
58,"i hate u, i love u (feat. olivia o'brien)",gnash,35291,2017-01-01,fr
59,Galatée,Nekfeu,35124,2017-01-01,fr
60,Mercy,Shawn Mendes,35019,2017-01-01,fr
61,Dans la légende,PNL,34920,2017-01-01,fr
62,Say You Won't Let Go,James Arthur,34863,2017-01-01,fr
63,Esquimaux,Nekfeu,34214,2017-01-01,fr
64,The Greatest,Sia,34106,2017-01-01,fr
65,Chantaje,Shakira,33719,2017-01-01,fr
66,Lean On (feat. MØ & DJ Snake),Major Lazer,33281,2017-01-01,fr
67,Tout donner - Pilule Violette,Maître Gims,33171,2017-01-01,fr
68,All We Know,The Chainsmokers,33067,2017-01-01,fr
69,A Kele Nta,MHD,32108,2017-01-01,fr
70,Love Me Now,John Legend,31568,2017-01-01,fr
71,This One's For You (feat. Zara Larsson) - Official Song UEFA EURO 2016,David Guetta,31521,2017-01-01,fr
72,Elle et l'autre,Jul,31027,2017-01-01,fr
73,Bailar,Deorro,30443,2017-01-01,fr
74,Poussière,Kaaris,30346,2017-01-01,fr
75,Nekketsu,Nekfeu,29488,2017-01-01,fr
76,Le regard des gens,Nekfeu,29391,2017-01-01,fr
77,Tuesday,Burak Yeter,29164,2017-01-01,fr
78,We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,28883,2017-01-01,fr
79,Sapés comme jamais - Pilule bleue,Maître Gims,28833,2017-01-01,fr
80,This Girl (Kungs Vs. Cookin' On 3 Burners) - Kungs Vs. Cookin' On 3 Burners,Kungs,28789,2017-01-01,fr
81,DA,PNL,28779,2017-01-01,fr
82,Sorry,Justin Bieber,28527,2017-01-01,fr
83,Andale (feat. Gradur),Sadek,27150,2017-01-01,fr
84,Lost on You,LP,26987,2017-01-01,fr
85,Shed a Light,Robin Schulz,26933,2017-01-01,fr
86,White Tiger - Single Version,Izzy Bizu,26817,2017-01-01,fr
87,Nador,Kaaris,26569,2017-01-01,fr
88,DUELE EL CORAZON,Enrique Iglesias,26324,2017-01-01,fr
89,Halcyon Birds,Broken Back,26305,2017-01-01,fr
90,Don't Let Me Down,The Chainsmokers,26217,2017-01-01,fr
91,Dis-moi que tu m'aimes,Ninho,26209,2017-01-01,fr
92,O.D,Nekfeu,24995,2017-01-01,fr
93,C'est le son de la gratte,Jul,24932,2017-01-01,fr
94,Mon Everest - feat. Marina Kaye,Soprano,24755,2017-01-01,fr
95,Jusqu'au dernier gramme,PNL,24421,2017-01-01,fr
96,Alone,Alan Walker,24359,2017-01-01,fr
97,Cellophané,Rim'K,23828,2017-01-01,fr
98,Capsize,FRENSHIP,23433,2017-01-01,fr
99,Stressed Out,Twenty One Pilots,23258,2017-01-01,fr
100,Please Don't Go,Joel Adams,23241,2017-01-01,fr
101,Billie Jean,Michael Jackson,23061,2017-01-01,fr
102,Besoin de sens,Nekfeu,23053,2017-01-01,fr
103,En feu,Soprano,23031,2017-01-01,fr
104,Qui a dit ?,Jul,22854,2017-01-01,fr
105,Boyz N The Hood,Kaaris,22804,2017-01-01,fr
106,No Money,Galantis,22735,2017-01-01,fr
107,J'suis QLF,PNL,22570,2017-01-01,fr
108,Fake Love,Drake,22315,2017-01-01,fr
109,Binta,Alonzo,22190,2017-01-01,fr
110,Je m'en fous de ta nana,Jul,22130,2017-01-01,fr
111,Commando,Niska,22113,2017-01-01,fr
112,Paris c'est loin,Damso,21606,2017-01-01,fr
113,Je m'en vais,Vianney,21518,2017-01-01,fr
114,Starving,Hailee Steinfeld,21517,2017-01-01,fr
115,Programmé,Nekfeu,21447,2017-01-01,fr
116,Vinyle,Nekfeu,21425,2017-01-01,fr
117,Cake By The Ocean,DNCE,21216,2017-01-01,fr
118,Hey Ya! - Radio Mix / Club Mix,OutKast,21183,2017-01-01,fr
119,Skurt Cobain,Sneazzy,21105,2017-01-01,fr
120,Thibaut Courtois,Shay,20591,2017-01-01,fr
121,Cheerleader - Felix Jaehn Remix Radio Edit,OMI,20390,2017-01-01,fr
122,92i veyron,Booba,20324,2017-01-01,fr
123,Blended Family (What You Do For Love),Alicia Keys,20278,2017-01-01,fr
124,Bambina,PNL,20073,2017-01-01,fr
125,La bise (feat. Brulux),Sadek,19898,2017-01-01,fr
126,Blind - Radio Edit,Feder,19789,2017-01-01,fr
127,Would I Lie To You - Radio Edit,David Guetta,19613,2017-01-01,fr
128,E.T.,Jul,19487,2017-01-01,fr
129,Silver,Fakear,19413,2017-01-01,fr
130,Mon bijou,Jul,19331,2017-01-01,fr
131,Wherever I Go,OneRepublic,19074,2017-01-01,fr
132,I Cry,Julian Perretta,19052,2017-01-01,fr
133,L'Aventurier,Indochine,19024,2017-01-01,fr
134,Sugar (feat. Francesco Yates),Robin Schulz,18883,2017-01-01,fr
135,Faded,Alan Walker,18818,2017-01-01,fr
136,Let It Go,James Bay,18731,2017-01-01,fr
137,Work,Rihanna,18587,2017-01-01,fr
138,Bang My Head (feat. Sia & Fetty Wap),David Guetta,18526,2017-01-01,fr
139,Luz de Luna,PNL,18455,2017-01-01,fr
140,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,18368,2017-01-01,fr
141,Kiname (feat. Booba),Fally Ipupa,18359,2017-01-01,fr
142,Ophelia,The Lumineers,18294,2017-01-01,fr
143,Arrêt du cœur,Kalash Criminel,18281,2017-01-01,fr
144,Dans ma vie,Gradur,18082,2017-01-01,fr
145,Amnésie,Damso,17877,2017-01-01,fr
146,Places,Martin Solveig,17749,2017-01-01,fr
147,Alors On Danse - Radio Edit,Stromae,17614,2017-01-01,fr
148,On va s'aimer,Gilbert Montagné,17573,2017-01-01,fr
149,C'est ça,Jul,17523,2017-01-01,fr
150,Get Lucky - Radio Edit,Daft Punk,17343,2017-01-01,fr
151,Broccoli (feat. Lil Yachty),DRAM,17177,2017-01-01,fr
152,Come,Jain,17156,2017-01-01,fr
153,Mambo No. 5 (A Little Bit of...),Lou Bega,17143,2017-01-01,fr
154,Tu sais pas,PNL,17021,2017-01-01,fr
155,J'ai déconné,KeBlack,16994,2017-01-01,fr
156,I Follow Rivers - The Magician Remix,Lykke Li,16875,2017-01-01,fr
157,Afro Trap Pt. 3 (Champions League),MHD,16863,2017-01-01,fr
